,fips,cases,deaths,employed-sugar-intake-daily,Democrats,Republicans
14566,11,66510,1196,18.5,True,False
14567,18,1088095,17386,35.9,False,True
14568,19,520318,7354,34.2,False,True
14569,20,462152,6707,32.4,False,True
14570,21,782638,10880,43.4,False,True
14571,24,580729,11148,28.0,True,False
14572,27,891223,9406,23.5,True,False
14573,28,512632,10262,49.7,False,True
14574,31,305358,3132,31.1,False,True
14575,34,1238359,28307,22.7,True,False
14576,36,2691097,56816,23.1,True,False
14577,37,1525775,18696,42.1,False,True
14578,39,1660131,26190,32.0,False,True
14579,40,662220,10879,46.5,False,True
14580,45,914946,14153,42.0,False,True
14581,49,589842,3470,30.3,False,True
14582,50,48120,406,16.7,True,False
14583,54,290909,4817,46.1,False,True
14584,55,963456,9922,29.7,False,True
14585,2,148491,846,26.2,False,True
14586,4,1255597,22173,33.0,False,True
14587,6,5060129,74314,22.9,True,False
14588,9,416573,8865,18.9,True,False
14589,11,66510,1196,18.5,True,False
14590,18,1088095,17386,35.9,False,True
14591,19,520318,7354,34.2,False,True
14592,20,462152,6707,32.4,False,True
14593,21,782745,10894,43.4,False,True
14594,24,580729,11148,28.0,True,False
14595,27,891223,9406,23.5,True,False
14596,28,512632,10262,49.7,False,True
14597,31,305358,3132,31.1,False,True
14598,34,1241210,28323,22.7,True,False
14599,36,2697859,56840,23.1,True,False
14600,37,1526197,18699,42.1,False,True
14601,39,1660131,26190,32.0,False,True
14602,40,662220,10879,46.5,False,True
14603,45,914946,14153,42.0,False,True
14604,49,589842,3470,30.3,False,True
14605,50,48120,406,16.7,True,False
14606,54,290909,4817,46.1,False,True
14607,55,967662,9940,29.7,False,True
14608,2,149116,853,26.2,False,True
14609,4,1258919,22177,33.0,False,True
14610,6,5062119,74355,22.9,True,False
14611,9,418473,8865,18.9,True,False
14612,11,66510,1196,18.5,True,False
14613,18,1088095,17386,35.9,False,True
14614,19,520318,7354,34.2,False,True
14615,20,462152,6704,32.4,False,True
14616,21,782745,10894,43.4,False,True
14617,24,580729,11148,28.0,True,False
14618,27,895353,9462,23.5,True,False
14619,28,512632,10262,49.7,False,True
14620,31,305358,3132,31.1,False,True
14621,34,1243354,28326,22.7,True,False
14622,36,2706059,56861,23.1,True,False
14623,37,1526197,18699,42.1,False,True
14624,39,1669274,26483,32.0,False,True
14625,40,662220,10879,46.5,False,True
14626,45,915671,14186,42.0,False,True
14627,49,592258,3487,30.3,False,True
14628,50,48120,406,16.7,True,False
14629,54,290909,4817,46.1,False,True
14630,55,968415,9944,29.7,False,True
14631,2,149116,853,26.2,False,True
14632,4,1262574,22224,33.0,False,True
14633,6,5062737,74374,22.9,True,False
14634,9,418473,8865,18.9,True,False
14635,11,66510,1196,18.5,True,False
14636,18,1088095,17386,35.9,False,True
14637,19,520318,7354,34.2,False,True
14638,20,462152,6704,32.4,False,True
14639,21,782745,10900,43.4,False,True
14640,24,583532,11178,28.0,True,False
14641,27,895353,9462,23.5,True,False
14642,28,512632,10262,49.7,False,True
14643,31,305358,3132,31.1,False,True
